gamma,lam,vf_coef,ent_coef,final_mean_reward,num_episodes,final_policy_loss,final_value_loss
0.91,0.91,0.1,0.001,-246.2553781989853,65,0.113565593957901,41.115047454833984
0.91,0.91,0.1,0.01,-243.59604524029604,65,-0.2788931131362915,31.068002700805664
0.91,0.91,0.1,0.1,-241.09404425903122,65,-0.11790069937705994,19.58864974975586
0.91,0.91,0.5,0.001,-249.3733787294799,64,-0.12456481158733368,41.02976989746094
0.91,0.91,0.5,0.01,-243.2474128818796,65,-0.28039634227752686,76.25882720947266
0.91,0.91,0.5,0.1,-247.25937657573533,65,-0.3282979726791382,31.612728118896484
0.91,0.91,0.9,0.001,-249.6953094521141,64,-0.33180251717567444,52.875850677490234
0.91,0.91,0.9,0.01,-248.58123917812497,65,0.260915070772171,91.49726867675781
0.91,0.91,0.9,0.1,-247.50554986184025,65,-0.0411192923784256,97.68160247802734
0.91,0.95,0.1,0.001,-253.00469735103957,64,-0.28027617931365967,28.58613395690918
0.91,0.95,0.1,0.01,-248.15871551712036,65,-0.337377667427063,13.285008430480957
0.91,0.95,0.1,0.1,-245.06266064182827,65,0.034018196165561676,118.93465423583984
0.91,0.95,0.5,0.001,-246.72644586741418,65,-0.17700403928756714,23.909618377685547
0.91,0.95,0.5,0.01,-248.58380780420578,65,0.4819173812866211,143.635986328125
0.91,0.95,0.5,0.1,-246.45356182364281,65,0.12934023141860962,170.9535675048828
0.91,0.95,0.9,0.001,-258.0642449879665,65,0.35970064997673035,309.5022888183594
0.91,0.95,0.9,0.01,-248.20184743905082,65,0.152099609375,42.45645523071289
0.91,0.95,0.9,0.1,-248.45513921235244,64,0.21586447954177856,133.93609619140625
0.91,0.97,0.1,0.001,-251.80993456949884,65,-0.02454325556755066,29.963085174560547
0.91,0.97,0.1,0.01,-254.9969327449031,65,0.07757978141307831,36.77696990966797
0.91,0.97,0.1,0.1,-248.0626775859412,65,-0.20766398310661316,41.39726638793945
0.91,0.97,0.5,0.001,-249.28812914022564,64,-0.1409073770046234,22.52405548095703
0.91,0.97,0.5,0.01,-245.96647419590786,65,-0.001461915671825409,126.80679321289062
0.91,0.97,0.5,0.1,-240.5852470099318,65,-0.04273788630962372,82.49516296386719
0.91,0.97,0.9,0.001,-242.86405330214052,65,-0.0654032826423645,70.6217269897461
0.91,0.97,0.9,0.01,-246.95615622052756,65,0.07035264372825623,219.97894287109375
0.91,0.97,0.9,0.1,-245.04089700973523,65,-0.08375778794288635,50.25425338745117
0.91,0.99,0.1,0.001,-251.45316810090048,65,0.1065913736820221,196.5197296142578
0.91,0.99,0.1,0.01,-264.6562465689156,64,0.04041755199432373,77.1695327758789
0.91,0.99,0.1,0.1,-250.55119380026179,64,-0.2541182041168213,39.01316452026367
0.91,0.99,0.5,0.001,-257.2695853501916,65,0.056586217135190964,95.82705688476562
0.91,0.99,0.5,0.01,-255.3199944843651,64,0.10461775213479996,33.368736267089844
0.91,0.99,0.5,0.1,-248.22736022915515,65,-0.10191929340362549,40.1906852722168
0.91,0.99,0.9,0.001,-258.9015946140417,64,-0.13645821809768677,107.33351135253906
